signalType,detectedAt,score,entryTime,entryPrice,entryFamily,stop,targetPrice,splitTargetPrices,exitTime,exitPrice,exitReason,holdingHours,grossR,feeCostR,slippageCostR,costsR,netR,symbol,support,relVol,signalLow,dailyAtr,configurationId,stage
0Day,1673478000000,56.36889020324694,1673499600000,0.17158575,breakout,0.1592,0.190164375,,1673686800000,0.190069292813,target-1.5R,52,1.506923278768,0.014599642444,0.014600019175,0.02919966162,1.477723617148,ICX,0.16,1.3033164145639884,0.1583,0.00654285714285715,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673532000000,40.05948669962795,1673557200000,1.138569,breakout,1.07062,1.2404925,,1673658000000,1.23987225375,target-1.5R,28,1.508373927504,0.017501664879,0.017502041973,0.035003706852,1.473370220653,SUSHI,1.076,1.122110813163135,1.057,0.056428571428571384,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673553600000,57.84642709764743,1673582400000,0.4658328,breakout,0.4392925,0.50564325,,1673679600000,0.505390428375,target-1.5R,27,1.50877156626,0.018297141109,0.018297518302,0.036594659412,1.472176906848,BEL,0.4415,2.321842102556406,0.4366,0.017221428571428575,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673546400000,63.062281417029496,1673604000000,5.26263,breakout,5.02077,5.62542,,1673661600000,5.62260729,target-1.5R,16,1.510874059373,0.022503178058,0.022503555776,0.045006733834,1.46586732554,DOT,5.046,1.767670823630316,5.006,0.16085714285714317,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673546400000,46.820658735651406,1673632800000,9.486741,breakout,8.63461,10.7649375,,1673748000000,10.75955503125,target-1.5R,32,1.505563698539,0.011879802537,0.011880178928,0.023759981465,1.481803717074,ZEN,8.678,1.5246286097374484,8.562,0.4482142857142856,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673625600000,47.32146935318854,1673647200000,5.3956965,breakout,5.20385,5.68346625,,1673661600000,5.680624516875,target-1.5R,4,1.514055507919,0.028867665078,0.028868043592,0.05773570867,1.456319799249,DOT,5.23,1.0079858361793745,5.158,0.169214285714286,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673463600000,73.21741708469342,1673658000000,16.2081,breakout,12.37979,21.950565,,1674867600000,21.3203345,time-14d,336,1.340278086153,0.004901436208,0.004901771278,0.009803207486,1.330474878667,AVAX,12.442,2.6512806410400835,12.239,0.5437857142857153,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673553600000,57.385315506321604,1673658000000,46.473225,breakout,43.07355,51.5727375,,1673859600000,43.052013225,stop,56,-0.993168464633,0.013166734795,0.013166486502,0.026333221297,-1.01950168593,ZEC,43.29,1.3379356207364674,42.95,1.8728571428571474,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673532000000,55.36892039147199,1673661600000,129.254595,breakout,107.56945,161.7823125,,1674871200000,134.03295,time-14d,336,0.226422281244,0.006070689059,0.006070745665,0.012141434724,0.21428084652,BCH,108.11,1.306505842001956,107,3.13357142857143,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673632800000,40.65897095374552,1673661600000,10.2201075,breakout,8.987835,12.06851625,,1674871200000,10.860567,time-14d,336,0.528292240556,0.008553576624,0.008553708697,0.01710728532,0.511184955235,ZEN,9.033,1.097825562912738,9,0.4789285714285714,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673643600000,68.00504082841611,1673672400000,2.1280635,breakout,1.78702,2.63962875,,1674446400000,2.638308935625,target-1.5R,215,1.50311837053,0.006987924467,0.006988300246,0.013976224713,1.489142145818,NEAR,1.796,1.4105350204572207,1.777,0.12164285714285723,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1673654400000,75.83966404169612,1673679600000,14.2721325,breakout,12.500185,,,1674889200000,16.5986965,time-14d,336,1.321709587897,0.008710988616,0.008711319043,0.017422307659,1.304287280238,ENS,12.769,2.6224864531188268,12.563,0.6069285714285712,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1673737200000,43.524822863371085,1673802000000,14.1800865,breakout,13.05639,15.86563125,,1674817200000,15.857698434375,target-1.5R,282,1.506306418148,0.013365612928,0.013365989504,0.026731602432,1.479574815716,ENS,13.122,3.12730433722332,12.986,0.6427142857142855,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673809200000,59.54658088500759,1673834400000,1.6858425,breakout,1.573095,1.85496375,,1673884800000,1.5723084525,stop,14,-0.9925275505,0.014448883357,0.014448635225,0.028897518581,-1.021425069081,INJ,1.581,1.8078048290000224,1.563,0.07699999999999992,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1674259200000,74.51189570991707,1674288000000,9.752874,breakout,8.635605,,,1675497600000,12.2248845,time-14d,336,2.22238332935,0.0098354821,0.009836037695,0.019671519795,2.202711809555,AR,8.757,1.0258602759670377,8.679,0.7172142857142852,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1674259200000,78.60393330809435,1674327600000,0.2437218,breakout,0.2144225,,,1675537200000,0.2702648,time-14d,336,0.914697620762,0.008771311943,0.008771540617,0.01754285256,0.897154768203,ALGO,0.2162,1.229068419519071,0.2155,0.013928571428571445,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1676419200000,75.40616009622075,1676462400000,44.652315,breakout,40.42685,,,1677672000000,48.465755,time-14d,336,0.91350892742,0.011018677234,0.011018905612,0.022037582846,0.891471344574,EGLD,41.1,1.3958185278061126,40.63,2.8271428571428556,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1676505600000,75.03664523281441,1676581200000,6.1780875,breakout,5.46255,,,1677790800000,5.8960505,time-14d,336,-0.385724018657,0.008437110564,0.008437014133,0.016874124696,-0.402598143354,ICP,5.572,1.0708428429115247,5.49,0.4044999999999999,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1676678400000,77.284109361428,1676700000000,0.09116556,breakout,0.08524165,,,1677808800000,0.085199029175,stop,308,-0.992309133663,0.014885826184,0.014885578106,0.02977140429,-1.022080537953,XLM,0.08708,1.045723341977434,0.08567,0.0037192857142857127,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1676505600000,71.28845603563842,1676725200000,136.68831,breakout,124.24565,,,1677808800000,124.183527175,stop,301,-0.994510016347,0.010482960925,0.010482712298,0.020965673223,-1.01547568957,BCH,126.77,1.2244276538648635,124.87,5.919285714285711,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1676505600000,80.13036846905048,1676761200000,90.835395,breakout,81.69945,,,1677258000000,81.658600275,stop,138,-0.995031165358,0.009440402458,0.009440153701,0.018880556159,-1.013911721517,AAVE,83.13,1.082456431836344,82.11,6.247142857142856,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1678665600000,77.07832555831129,1678719600000,55.40769,breakout,45.1929,,,1679929200000,56.081945,time-14d,336,0.071465003196,0.005457265152,0.005457283018,0.01091454817,0.060550455026,DASH,45.8,1.1347511931898357,45.42,5.120000000000002,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1678654800000,55.855937904226806,1678737600000,4.14207,breakout,2.989975,5.8702125,,1679947200000,3.742128,time-14d,336,-0.343721654898,0.003421678768,0.003421592837,0.006843271605,-0.350564926503,INJ,3.005,2.4367223691309494,2.963,0.38564285714285695,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1678665600000,70.01417004720889,1678737600000,4.14207,breakout,2.948185,,,1679947200000,3.742128,time-14d,336,-0.331690238172,0.003301908475,0.003301825553,0.006603734028,-0.3382939722,INJ,3.005,3.0297051239513872,2.963,0.38564285714285695,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1678748400000,48.77220222947912,1678777200000,12.12606,breakout,11.343,13.30065,,1678824000000,13.293999675,target-1.5R,13,1.507738870585,0.01623123367,0.016231610605,0.032462844274,1.47527602631,ATOM,11.4,1.5502708993047425,11.264,0.722071428571429,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1678734000000,58.84394713238516,1678798800000,13.3056495,breakout,11.4425,16.10037375,,1679774400000,11.43677875,stop,271,-0.996431043242,0.006639947103,0.006639697995,0.013279645098,-1.00971068834,APT,11.5,1.4947193283468039,11.4,1.204857142857144,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1678719600000,56.27769284514262,1678798800000,2.8168077,breakout,2.2412375,3.680163,,1679659200000,2.24011688125,stop,239,-0.997554251419,0.004392969425,0.004392720037,0.008785689462,-1.006339940881,OP,2.2525,1.2740092463111914,2.2454,0.2958642857142863,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1678719600000,55.8762498001188,1678798800000,0.085972965,breakout,0.080595,0.0940399125,,1679418000000,0.093992892544,target-1.5R,172,1.507989081372,0.016731780287,0.016732157284,0.033463937572,1.4745251438,XLM,0.081,1.0504618570241513,0.08019,0.0036549999999999977,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1678726800000,44.08691229810214,1678806000000,0.7965981,breakout,0.669635,0.98704275,,1679655600000,0.6693001825,stop,236,-0.996864443291,0.005772930412,0.005772681196,0.011545611609,-1.0084100549,STG,0.673,1.054092561159365,0.6683,0.11552857142857133,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1679097600000,79.07883240193034,1679126400000,1.2776385,breakout,1.141265,,,1679385600000,1.1406943675,stop,72,-0.995318005331,0.008866579165,0.008866330335,0.0177329095,-1.013050914831,SUSHI,1.157,1.1791760297463776,1.147,0.10892857142857147,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1679097600000,86.5238234402827,1679270400000,13.3156545,breakout,10.7659,,,1680480000000,12.089952,time-14d,336,-0.475732075382,0.004981971107,0.004981852174,0.009963823282,-0.485695898664,NEO,10.966,1.4128205481013,10.82,1.1404285714285727,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1679097600000,80.76640136146935,1679274000000,0.024642315,breakout,0.02189995,,,1679515200000,0.021889000025,stop,67,-0.995509350506,0.00848379319,0.008483544313,0.016967337503,-1.012476688009,VET,0.02214,1.448365434718527,0.02201,0.002000714285714287,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1679097600000,79.30825758052269,1679310000000,7.3606785,breakout,6.56103,,,1680519600000,7.2893535,time-14d,336,-0.080035165451,0.009160294805,0.009160274796,0.0183205696,-0.098355735051,LINK,6.662,1.2983466508926793,6.594,0.4456428571428578,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1680134400000,81.7802439021301,1680271200000,0.26163075,breakout,0.2404915,,,1681480800000,0.2862568,time-14d,336,1.177903662618,0.012959011081,0.012959305557,0.025918316638,1.15198534598,BAT,0.2438,1.203491934263509,0.2417,0.018778571428571415,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1681513200000,42.12395635360494,1681664400000,1.204602,breakout,1.151215,1.2846825,,1681894800000,1.1506393925,stop,64,-0.988723846629,0.022058191999,0.022057944818,0.044116136817,-1.032839983446,SUSHI,1.157,1.136786841323687,1.149,0.05728571428571429,breakout:support:fixed:1.5:score0:relvol-1-4,development
