symbol,split,variant,config_id,trades,win_rate,expectancy_r,profit_factor,max_drawdown_r,total_r
ETHUSDT,development,bullish_engulfing,20,15,0.3333333333333333,0.30063212099090997,1.4509481814863654,-2.9999999999999964,4.5094818148636495
BTCUSDT,development,bullish_engulfing,21,19,0.3157894736842105,0.22358624634447535,1.326779898503464,-4.140225422857507,4.248138680545032
ETHUSDT,development,bullish_engulfing,21,15,0.4,0.5653382030311317,1.9422303383852197,-2.9999999999999982,8.480073045466975
BTCUSDT,development,bullish_engulfing,22,10,0.3,0.15656542134127777,1.2236648876303968,-2.9999999999999982,1.5656542134127778
ETHUSDT,development,bullish_engulfing,22,9,0.3333333333333333,0.30609358015427335,1.4591403702314103,-3.0822804404898942,2.75484222138846
BTCUSDT,development,bullish_engulfing,23,10,0.3,0.1611307032608742,1.2301867189441058,-2.999999999999998,1.611307032608742
ETHUSDT,development,bullish_engulfing,23,9,0.3333333333333333,0.3078777336680192,1.4618166005020288,-3.077667679980938,2.7708996030121726
BTCUSDT,development,bullish_engulfing,24,12,0.3333333333333333,0.2909379922153814,1.4364069883230715,-5.000000000000012,3.491255906584577
ETHUSDT,development,bullish_engulfing,24,8,0.25,-0.025855728531943872,0.9655256952907414,-2.999999999999999,-0.20684582825555098
BTCUSDT,development,bullish_engulfing,25,12,0.3333333333333333,0.29505622507790413,1.4425843376168566,-4.999999999999993,3.5406747009348494
ETHUSDT,development,bullish_engulfing,25,8,0.375,0.46778392033750393,1.7484542725400067,-2.9999999999999982,3.7422713627000315
BTCUSDT,development,bullish_engulfing,26,7,0.42857142857142855,0.6522363162018253,2.1414135533531953,-2.999999999999999,4.5656542134127776
ETHUSDT,development,bullish_engulfing,26,5,0.4,0.5586308343488895,1.9310513905814817,-2.0000000000000018,2.7931541717444475
BTCUSDT,development,bullish_engulfing,27,7,0.42857142857142855,0.6587581475155344,2.1528267581521856,-2.9999999999999982,4.611307032608741
ETHUSDT,development,bullish_engulfing,27,5,0.4,0.5616516735057334,1.936086122509555,-2.0000000000000013,2.808258367528667
BTCUSDT,development,bullish_engulfing,28,16,0.3125,0.21418614328122954,1.3115434811363338,-6.000000000000012,3.4269782924996726
ETHUSDT,development,bullish_engulfing,28,14,0.2857142857142857,0.11739994677431789,1.1643599254840453,-3.082280440489889,1.6435992548404506
BTCUSDT,development,bullish_engulfing,29,16,0.3125,0.21744972691878606,1.3162905118818706,-5.999999999999988,3.479195630700577
